*Plastic, rate=0.
 2.57021e+08,  0.,700.
 2.46221e+08, 0.0500267,      700.
 2.3542e+08, 0.10002,    700.
 2.27555e+08, 0.150078,     700.
 2.19158e+08, 0.2001,   700.
 2.11338e+08, 0.250088,     700.
 2.03388e+08, 0.300091,     700.
 1.95176e+08, 0.35006,    700.
 1.89128e+08, 0.400076,     700.
 1.89516e+08, 0.450033,     700.
 1.85299e+08, 0.500065,     700.
 1.81679e+08, 0.550043,     700.
 1.76859e+08, 0.600041,     700.
 1.74351e+08,  0.,750.
 1.62479e+08, 0.0500446,      750.
 1.50607e+08, 0.100142,     750.
 1.40688e+08, 0.150033,     750.
 1.34965e+08, 0.200086,     750.
 1.29938e+08, 0.250074,     750.
 1.24204e+08, 0.300039,     750.
 1.24105e+08, 0.350107,     750.
 1.19489e+08, 0.400003,     750.
 1.16361e+08, 0.450058,     750.
 1.12099e+08, 0.500047,     750.
 1.09864e+08, 0.550014,     750.
 1.04044e+08, 0.600012,     750.
 1.01627e+08,  0.,800.
 9.92773e+07, 0.0500446,      800.
 9.69276e+07, 0.100039,     800.
 9.54889e+07, 0.150045,     800.
 9.36815e+07, 0.200073,     800.
 9.19777e+07, 0.25009,    800.
 8.89525e+07, 0.300076,     800.
 8.89672e+07, 0.350051,     800.
 8.81067e+07, 0.400003,     800.
 8.63414e+07, 0.450016,     800.
 8.74177e+07, 0.500039,     800.
 8.74212e+07, 0.550071,     800.
 8.69101e+07, 0.600032,     800.
 8.78125e+07, 0.650017,     800.
 5.89178e+07,  0.,850.
 5.53104e+07, 0.050073,     850.
 5.1703e+07, 0.100069,     850.
 5.04798e+07, 0.150096,     850.
 4.93763e+07, 0.200072,     850.
 4.84727e+07, 0.250038,     850.
 4.75024e+07, 0.300165,     850.
 4.63688e+07, 0.350098,     850.
 4.93585e+07, 0.400093,     850.
 4.61031e+07, 0.450066,     850.
 4.58644e+07, 0.500037,     850.
 4.55785e+07, 0.550003,     850.
 4.78819e+07, 0.600141,     850.
 2.66877e+07,  0.,900.
 2.52876e+07, 0.0500278,      900.
 2.38874e+07, 0.100008,     900.
 2.47222e+07, 0.150065,     900.
 2.4864e+07, 0.200039,     900.
 2.48892e+07, 0.250096,     900.
 2.50484e+07, 0.300025,     900.
 2.5404e+07, 0.350013,     900.
 2.56334e+07, 0.400036,     900.
 2.61848e+07, 0.450041,     900.
 2.61897e+07, 0.500057,     900.
 2.60741e+07, 0.550005,     900.
 2.6124e+07, 0.600052,     900.
 2.53613e+07, 0.650017,     900.
 2.21313e+07,  0.,950.
 2.00057e+07, 0.0500099,      950.
 1.78801e+07, 0.100081,     950.
 1.73749e+07, 0.150027,     950.
 1.66318e+07, 0.200066,     950.
 1.61391e+07, 0.25009,    950.
 1.63242e+07, 0.300025,     950.
 1.60595e+07, 0.350004,     950.
 1.6201e+07, 0.400027,     950.
 1.61597e+07, 0.450146,     950.
 1.53989e+07, 0.500057,     950.
 1.60893e+07, 0.550014,     950.
 1.61685e+07, 0.600052,     950.
 1.66396e+07, 0.65009,    950.
 1.25116e+07,   0.,1000.
 1.23784e+07, 0.050074,    1000.
 1.22452e+07, 0.100033,    1000.
 1.22354e+07, 0.15002,   1000.
 1.20944e+07, 0.200006,    1000.
 1.1865e+07, 0.25004,   1000.
 1.15984e+07, 0.300016,    1000.
 1.1125e+07, 0.350091,    1000.
 1.09159e+07, 0.400061,    1000.
 1.07682e+07, 0.45005,   1000.
 1.07182e+07, 0.500029,    1000.
 1.06385e+07, 0.550071,    1000.
 1.04312e+07, 0.600132,    1000.
 1.0426e+07, 0.650005,    1000.
*Plastic, rate=0.01
 3.24531e+08,  0.,700.
 3.29955e+08, 0.0500246,      700.
 3.35378e+08, 0.100066,     700.
 3.35212e+08, 0.150039,     700.
 3.31651e+08, 0.200013,     700.
 3.26381e+08, 0.250027,     700.
 3.19574e+08, 0.300011,     700.
 3.13485e+08, 0.350033,     700.
 3.06621e+08, 0.400009,     700.
 3.00001e+08, 0.450043,     700.
 2.94198e+08, 0.500008,     700.
 2.89931e+08, 0.550055,     700.
 2.86946e+08, 0.60005,    700.
 2.83324e+08, 0.650023,     700.
 2.53436e+08,  0.,750.
 2.45502e+08, 0.0500036,      750.
 2.37568e+08, 0.100069,     750.
 2.31274e+08, 0.150051,     750.
 2.24604e+08, 0.200052,     750.
 2.17773e+08, 0.250123,     750.
 2.11115e+08,0.300000298,750.
 2.05763e+08, 0.350043,     750.
 2.00218e+08, 0.400051,     750.
 1.95231e+08, 0.450058,     750.
 1.89191e+08, 0.500027,     750.
 1.85453e+08, 0.55006,    750.
 1.82335e+08, 0.600001,     750.
 1.797e+08, 0.65009,    750.
 1.7959e+08,  0.,800.
 1.72686e+08, 0.0500961,      800.
 1.65782e+08, 0.100081,     800.
 1.60916e+08, 0.150026,     800.
 1.56351e+08, 0.200072,     800.
 1.51385e+08, 0.250124,     800.
 1.47168e+08, 0.300091,     800.
 1.42891e+08, 0.350058,     800.
 1.40079e+08, 0.400002,     800.
 1.3769e+08, 0.45017,    800.
 1.35893e+08, 0.500128,     800.
 1.34738e+08, 0.550109,     800.
 1.34238e+08, 0.60001,    800.
 1.33716e+08, 0.650078,     800.
 1.30475e+08,  0.,850.
 1.21314e+08, 0.0500131,      850.
 1.12154e+08, 0.100113,     850.
 1.12685e+08, 0.150045,     850.
 1.10125e+08, 0.200039,     850.
 1.05728e+08, 0.250047,     850.
 1.07858e+08, 0.30007,    850.
 1.05687e+08, 0.350063,     850.
 1.03069e+08,0.400000069,850.
 9.57504e+07, 0.45006,    850.
 9.39756e+07, 0.500034,     850.
 9.59212e+07, 0.550005,     850.
 9.44242e+07, 0.600028,     850.
 9.30833e+07, 0.650074,     850.
 5.39886e+07,  0.,900.
 5.19704e+07, 0.0500215,      900.
 4.99522e+07, 0.100057,     900.
 5.07754e+07, 0.150033,     900.
 5.18147e+07, 0.200019,     900.
 5.07302e+07, 0.250025,     900.
 4.87844e+07, 0.300016,     900.
 4.73368e+07, 0.350036,     900.
 4.35384e+07, 0.400027,     900.
 4.667e+07, 0.450032,     900.
 4.60778e+07, 0.50012,    900.
 4.60993e+07, 0.550041,     900.
 4.54594e+07, 0.600242,     900.
 4.50205e+07, 0.650015,     900.
 4.73587e+07,  0.,950.
 4.5339e+07, 0.0500015,      950.
 4.33193e+07, 0.100052,     950.
 4.17976e+07, 0.150007,     950.
 3.93415e+07, 0.200046,     950.
 3.82689e+07, 0.250047,     950.
 3.72217e+07, 0.300077,     950.
 3.63465e+07, 0.350078,     950.
 3.57473e+07, 0.400058,     950.
 3.47179e+07, 0.450025,     950.
 3.45608e+07, 0.500016,     950.
 3.42986e+07, 0.550102,     950.
 3.38355e+07, 0.600059,     950.
 3.44272e+07, 0.650053,     950.
 3.01898e+07,   0.,1000.
 2.85923e+07, 0.0500267,     1000.
 2.69949e+07, 0.100093,    1000.
 2.51398e+07, 0.150026,    1000.
 2.35594e+07, 0.200012,    1000.
 2.195e+07, 0.250124,    1000.
 2.05827e+07, 0.300106,    1000.
 1.95955e+07, 0.350051,    1000.
 1.8686e+07, 0.400076,    1000.
 1.7682e+07, 0.450049,    1000.
 1.71736e+07, 0.500037,    1000.
 1.65128e+07, 0.550003,    1000.
 1.59093e+07, 0.600041,    1000.
 1.5652e+07, 0.650015,    1000.
*Plastic, rate=0.1
 4.03377e+08,  0.,700.
 4.23292e+08, 0.0501813,      700.
 4.43206e+08, 0.100089,     700.
 4.47714e+08, 0.15002,    700.
 4.4326e+08, 0.20006,    700.
 4.32298e+08, 0.250203,     700.
 4.15272e+08, 0.300003,     700.
 3.97584e+08, 0.350078,     700.
 3.79467e+08, 0.40014,    700.
 3.61887e+08, 0.45005,    700.
 3.46281e+08, 0.500135,     700.
 3.36217e+08, 0.550053,     700.
 3.30592e+08, 0.60016,    700.
 3.33152e+08, 0.650095,     700.
 3.09865e+08,  0.,750.
 3.22127e+08, 0.0500383,      750.
 3.34389e+08, 0.100118,     750.
 3.38198e+08, 0.150078,     750.
 3.35791e+08, 0.200119,     750.
 3.29851e+08, 0.250074,     750.
 3.21259e+08, 0.300002,     750.
 3.11178e+08, 0.350247,     750.
 3.01996e+08, 0.400176,     750.
 2.94436e+08, 0.450154,     750.
 2.88612e+08, 0.500037,     750.
 2.87094e+08, 0.550071,     750.
 2.87169e+08, 0.600152,     750.
 2.95397e+08, 0.650059,     750.
 2.47644e+08,  0.,800.
 2.5219e+08, 0.0502707,      800.
 2.56737e+08, 0.100185,     800.
 2.5729e+08, 0.150001,     800.
 2.55776e+08, 0.200201,     800.
 2.52327e+08, 0.250054,     800.
 2.48173e+08, 0.300025,     800.
 2.45022e+08, 0.350013,     800.
 2.40378e+08, 0.400118,     800.
 2.36576e+08, 0.450223,     800.
 2.33248e+08, 0.50013,    800.
 2.31288e+08, 0.550062,     800.
 2.30194e+08, 0.600041,     800.
 2.29744e+08, 0.650197,     800.
 1.68519e+08,  0.,850.
 1.75117e+08, 0.0501813,      850.
 1.81715e+08, 0.100004,     850.
 1.77725e+08, 0.1502,   850.
 1.75953e+08, 0.2001,   850.
 1.73553e+08, 0.250047,     850.
 1.70521e+08, 0.300123,     850.
 1.66285e+08, 0.350165,     850.
 1.62784e+08, 0.400009,     850.
 1.59581e+08, 0.450052,     850.
 1.56897e+08, 0.500217,     850.
 1.53794e+08, 0.550159,     850.
 1.52187e+08, 0.60012,    850.
 1.506e+08, 0.650044,     850.
 1.05297e+08,  0.,900.
 1.04339e+08, 0.0501424,      900.
 1.03382e+08, 0.100038,     900.
 1.04288e+08, 0.150102,     900.
 1.04017e+08, 0.200079,     900.
 1.03128e+08, 0.25001,    900.
 1.01737e+08, 0.300172,     900.
 1.00087e+08, 0.350122,     900.
 9.84881e+07, 0.400027,     900.
 9.70722e+07, 0.450127,     900.
 9.48613e+07, 0.500001,     900.
 9.33723e+07, 0.550041,     900.
 9.24397e+07, 0.600151,     900.
 9.15991e+07, 0.650026,     900.
 6.45165e+07,  0.,950.
 6.39091e+07, 0.0501003,      950.
 6.33017e+07, 0.100047,     950.
 6.60729e+07, 0.150091,     950.
 6.91285e+07, 0.200154,     950.
 6.52617e+07, 0.25004,    950.
 6.33524e+07, 0.30007,    950.
 6.17989e+07, 0.350016,     950.
 6.0662e+07, 0.400009,     950.
 6.0245e+07, 0.450104,     950.
 5.98417e+07, 0.500153,     950.
 5.94362e+07, 0.55014,    950.
 5.90521e+07, 0.60008,    950.
 5.89494e+07, 0.650021,     950.
 4.78067e+07,   0.,1000.
 4.66604e+07, 0.0500383,     1000.
 4.55141e+07, 0.100045,    1000.
 4.42174e+07, 0.150058,    1000.
 4.2348e+07, 0.200173,    1000.
 4.0362e+07, 0.250124,    1000.
 3.83949e+07, 0.300135,    1000.
 3.6359e+07, 0.350091,    1000.
 3.45552e+07, 0.40006,   1000.
 3.29043e+07, 0.450102,    1000.
 3.13729e+07, 0.500128,    1000.
 2.9675e+07, 0.550176,    1000.
 2.76974e+07, 0.600092,    1000.
 2.61605e+07, 0.650206,    1000.
*Plastic, rate=1.
 4.4678e+08,  0.,700.
 4.82416e+08, 0.0502423,      700.
 5.18052e+08, 0.100007,     700.
 5.34832e+08, 0.150214,     700.
 5.38514e+08, 0.200288,     700.
 5.31925e+08, 0.250145,     700.
 5.18972e+08, 0.300103,     700.
 5.02808e+08, 0.350082,     700.
 4.84954e+08, 0.40016,    700.
 4.70669e+08, 0.45013,    700.
 4.54229e+08, 0.500344,     700.
 4.45262e+08, 0.550079,     700.
 4.46918e+08, 0.600187,     700.
 4.62512e+08, 0.650115,     700.
 3.52991e+08,  0.,750.
 3.75002e+08, 0.0507871,      750.
 3.97014e+08, 0.101406,     750.
 4.09013e+08, 0.150771,     750.
 4.14048e+08, 0.200301,     750.
 4.12522e+08, 0.251017,     750.
 4.0338e+08, 0.301515,     750.
 3.92152e+08, 0.350569,     750.
 3.83749e+08, 0.401371,     750.
 3.76558e+08, 0.451782,     750.
 3.74996e+08, 0.501805,     750.
 3.80168e+08, 0.550999,     750.
 3.92502e+08, 0.600685,     750.
 2.81134e+08,  0.,800.
 2.98154e+08, 0.0513912,      800.
 3.15174e+08, 0.101681,     800.
 3.21906e+08, 0.151245,     800.
 3.24235e+08, 0.200713,     800.
 3.2402e+08, 0.25021,    800.
 3.2206e+08, 0.301419,     800.
 3.16271e+08, 0.350772,     800.
 3.09296e+08, 0.400052,     800.
 3.01902e+08, 0.450855,     800.
 2.94879e+08, 0.501232,     800.
 2.91061e+08, 0.551172,     800.
