C:\WinT,A100\DIL805.PR,O\Data\Def,ormation,\SalimAlha,bsi\Ti64,\Basic file\,039_Compress,ion_Salim_Ti6,4_850_-2,.0_CoolQu,ench_012_.,asc
No.,Time,Tem.1,DL,Force,Strain,kf (Def.),Phi  (D),Phi* (D),Tem.2,Tem.3,Poti,HF
,s,∞C,µm,N,%,N/mm≤,,1/s,∞C,∞C,mm,%
19,6.000904,19.5,-0.08,0.5,0,0.0272,0,0,-20,-20,24.6709,0.06
20,6.333829,19.9,-0.11,0,0,-0.0014,0,0,-20,-20,24.6709,0
21,6.666781,19.7,-0.16,0.5,0,0.0272,0,0,-20,-20,24.6709,0.05
22,7.001689,19.7,-0.14,0.4,0,0.0201,0,0,-20,-20,24.6709,0
23,7.334716,19.7,-0.12,-0.5,0,-0.0229,0,0,-20,-20,24.6709,0.12
24,7.667581,19.7,-0.11,0.4,0,0.0201,0,0,-20,-20,24.6709,0.07
25,8.000497,19.6,-0.15,-0.6,0,-0.0301,0,0,-20,-20,24.6709,0
26,8.3334,19.8,-0.17,0.3,0,0.0129,0,0,-20,-20,24.6709,0
27,8.668151,19.8,-0.03,1,0,0.0488,0,0,-20,-20,24.6709,0.22
28,9.001091,19.8,-0.15,0.8,0,0.0416,0,0,-20,-20,24.6709,0.12
29,9.334041,19.8,-0.14,1.4,0,0.0703,0,0,-20,-20,24.6709,0.46
30,9.666884,19.8,-0.15,-0.5,0,-0.0229,0,0,-20,-20,24.6709,0.54
31,10.220869,19.9,-0.25,1.4,0,0.0703,0,0,-20,-20,24.6708,3.42
32,10.775033,22.4,-0.17,0.8,0,0.0416,0,0,-20,-20,24.6708,9.69
33,11.327336,27,0.16,0.3,0,0.0129,0,0,-20,-20,24.6709,8.74
34,11.881451,29.6,0.3,1.1,0,0.0559,0,0,-20,-20,24.6709,7.93
35,12.433654,32.2,0.47,1.4,0,0.0703,0,0,-20,-20,24.6709,8.2
36,12.987848,34.8,0.65,1.4,-0.01,0.0703,0,0,-20,-20,24.6709,8.76
37,13.542003,37.6,0.94,2.4,-0.01,0.1205,0,0,-20,-20,24.6709,9.05
38,14.094133,40.7,1.1,2.8,-0.01,0.142,0,0,-20,-20,24.6709,9.08
39,14.648224,43.1,1.32,2.6,-0.01,0.1348,0,0,-20,-20,24.6709,9.62
40,15.200385,45.8,1.56,2.2,-0.02,0.1133,0,0,-20,-20,24.6709,10.1
