C:\WinT,A100\DIL805.PR,O\Data\Def,ormation,\SalimAlha,bsi\Ti64,\Basic file\,058_Compress,ion_Salim_Ti6,4_850_-2,.0_CoolPo,werOff_010_,.asc
No.,Time,Tem.1,DL,Force,Strain,kf (Def.),Phi  (D),Phi* (D),Tem.2,Tem.3,Poti,HF
,s,∞C,µm,N,%,N/mm≤,,1/s,∞C,∞C,mm,%
19,6.000556,28.4,-0.15,0.3,0,0.0161,0,0,-20,-20,24.7693,0.12
20,6.333465,28.3,-0.11,0.7,0,0.0376,0,0,-20,-20,24.7693,0
21,6.668371,28.3,-0.15,-0.2,0,-0.0125,0,0,-20,-20,24.7693,0
22,7.001328,28.4,-0.19,-0.7,0,-0.0341,0,0,-20,-20,24.7693,0
23,7.334339,28.1,-0.12,-1.2,0,-0.0627,0,0,-20,-20,24.7693,0.09
24,7.667235,28.5,-0.21,0.6,0,0.0305,0,0,-20,-20,24.7693,0
25,8.000183,28.7,-0.13,1.2,0,0.0591,0,0,-20,-20,24.7693,0
26,8.335098,28.2,-0.14,-0.4,0,-0.0197,0,0,-20,-20,24.7693,0
27,8.668208,28.2,-0.16,0.5,0,0.0233,0,0,-20,-20,24.7693,0
28,9.001112,28.4,-0.16,0.5,0,0.0233,0,0,-20,-20,24.7693,0
29,9.334097,28.1,-0.12,-0.1,0,-0.0054,0,0,-20,-20,24.7693,0
30,9.66707,28.4,-0.14,-0.7,0,-0.0341,0,0,-20,-20,24.7693,0
31,10.221299,28.1,-0.13,-0.4,0,-0.0197,0,0,-20,-20,24.7693,0
32,10.775575,28.2,-0.1,0.2,0,0.009,0,0,-20,-20,24.7693,0.01
33,11.327958,28.2,-0.14,-0.5,0,-0.0269,0,0,-20,-20,24.7693,0.12
34,11.882227,28.5,-0.09,-0.4,0,-0.0197,0,0,-20,-20,24.7693,2.85
35,12.434567,30.7,-0.08,0.6,0,0.0305,0,0,-20,-20,24.7693,9.12
36,12.988893,35.4,-0.01,0.3,0,0.0161,0,0,-20,-20,24.7693,8.44
37,13.541323,37.8,-0.03,1.6,0,0.0807,0,0,-20,-20,24.7693,8.09
38,14.095637,40.3,-0.01,2.3,0,0.1165,0,0,-20,-20,24.7693,8.33
39,14.648064,42.9,0.01,2,0,0.1022,0,0,-20,-20,24.7693,8.93
40,15.200409,46,0.09,1.9,0,0.095,0,0,-20,-20,24.7693,8.84
